,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
,Ident,Type,Origin,Destination,Departure,Estimated Arrival Time,Unnamed: 6_level_1,Unnamed: 7_level_1
0,SWA1003,B737,Baltimore/Washington Intl (KBWI),San Antonio Intl (KSAT),Tue 07:22PM EDT,Tue 09:59PM CDT,,
1,SWA1005,B38M,Denver Intl (KDEN),Sacramento Intl (KSMF),Tue 04:14PM MDT,Tue 05:36PM PDT,,
2,SWA1018,B737,Cancun Int'l (CUN / MMUN),Denver Intl (KDEN),Tue 04:00PM EST,Tue 06:39PM MDT,,
3,SWA1036,B738,Los Angeles Intl (KLAX),Kahului (OGG / PHOG),Tue 01:16PM PDT,Tue 03:31PM HST,,
4,SWA1039,B737,Daugherty Field (KLGB),Dallas Love Fld (KDAL),Tue 03:17PM PDT,Tue 07:45PM CDT,,
5,SWA1041,B38M,Raleigh-Durham Intl (KRDU),Chicago Midway Intl (KMDW),Tue 07:10PM EDT,Tue 07:55PM CDT,,
6,SWA1044,B737,Daugherty Field (KLGB),Denver Intl (KDEN),Tue 04:42PM PDT,Tue 07:33PM MDT,,
7,SWA1052,B38M,Denver Intl (KDEN),Orlando Intl (KMCO),Tue 03:47PM MDT,Tue 08:37PM EDT,,
8,SWA1053,B38M,Baltimore/Washington Intl (KBWI),Dallas Love Fld (KDAL),Tue 07:14PM EDT,Tue 09:15PM CDT,,
9,SWA1061,B737,Dallas Love Fld (KDAL),Sacramento Intl (KSMF),Tue 03:27PM CDT,Tue 04:53PM PDT,,
10,SWA1063,B738,Denver Intl (KDEN),Will Rogers World (KOKC),Tue 05:26PM MDT,Tue 07:34PM CDT,,
11,SWA1067,B38M,Dallas Love Fld (KDAL),Reagan National (KDCA),Tue 06:23PM CDT,Tue 09:38PM EDT,,
12,SWA1078,B38M,Muhammad Ali Intl (KSDF),Phoenix Sky Harbor Intl (KPHX),Tue 05:14PM EDT,Tue 05:35PM MST,,
13,SWA1082,B38M,Baltimore/Washington Intl (KBWI),Manchester Boston Rgnl (KMHT),Tue 07:48PM EDT,Tue 08:53PM EDT,,
14,SWA1088,B737,Jacksonville Intl (KJAX),Baltimore/Washington Intl (KBWI),Tue 06:57PM EDT,Tue 08:28PM EDT,,
15,SWA1091,B38M,Austin-Bergstrom Intl (KAUS),Los Angeles Intl (KLAX),Tue 04:07PM CDT,Tue 04:56PM PDT,,
16,SWA1111,B737,San Diego Intl (KSAN),Denver Intl (KDEN),Tue 03:43PM PDT,Tue 06:36PM MDT,,
17,SWA1119,B738,Nashville Intl (KBNA),Harry Reid Intl (KLAS),Tue 04:14PM CDT,Tue 05:50PM PDT,,
18,SWA112,B737,William P Hobby (KHOU),Juan Santamaria Int'l (SJO / MROC),Tue 05:19PM CDT,Tue 07:35PM CST,,
19,SWA113,B738,William P Hobby (KHOU),Baltimore/Washington Intl (KBWI),Tue 06:10PM CDT,Tue 09:36PM EDT,,
20,SWA1138,B737,Harry Reid Intl (KLAS),El Paso Intl (KELP),Tue 04:23PM PDT,Tue 06:33PM MDT,,
21,SWA1140,B738,Orlando Intl (KMCO),St Louis Lambert Intl (KSTL),Tue 07:23PM EDT,Tue 08:46PM CDT,,
22,SWA1145,B737,Minneapolis/St Paul Intl (KMSP),Baltimore/Washington Intl (KBWI),Tue 05:49PM CDT,Tue 08:41PM EDT,,
23,SWA1171,B737,Hartsfield-Jackson Intl (KATL),Austin-Bergstrom Intl (KAUS),Tue 06:20PM EDT,Tue 07:33PM CDT,,
24,SWA1183,B737,Chicago Midway Intl (KMDW),Hartsfield-Jackson Intl (KATL),Tue 06:01PM CDT,Tue 08:18PM EDT,,
25,SWA1190,B38M,Myrtle Beach Intl (KMYR),Baltimore/Washington Intl (KBWI),Tue 07:45PM EDT,Tue 08:52PM EDT,,
26,SWA1200,B38M,Phoenix Sky Harbor Intl (KPHX),Los Angeles Intl (KLAX),Tue 04:42PM MST,Tue 05:50PM PDT,,
27,SWA1204,B38M,Boston Logan Intl (KBOS),Chicago Midway Intl (KMDW),Tue 07:48PM EDT,Tue 09:06PM CDT,,
28,SWA123,B737,San Diego Intl (KSAN),Reno/Tahoe Intl (KRNO),Tue 04:43PM PDT,Tue 05:54PM PDT,,
29,SWA1233,B737,Charlotte/Douglas Intl (KCLT),Baltimore/Washington Intl (KBWI),Tue 07:40PM EDT,Tue 08:35PM EDT,,
30,SWA1275,B737,John Wayne (KSNA),Denver Intl (KDEN),Tue 04:11PM PDT,Tue 07:05PM MDT,,
31,SWA1297,B738,Austin-Bergstrom Intl (KAUS),Orlando Intl (KMCO),Tue 05:41PM CDT,Tue 08:50PM EDT,,
